0th file for whole dataset of cell 39, (c=0.01, npop=16, D=0.025119)
1th file for whole dataset of cell 39, (c=0.01, npop=1024, D=0.025119)
2th file for whole dataset of cell 39, (c=0.01, npop=1, D=0.025119)
3th file for whole dataset of cell 39, (c=0.01, npop=8, D=0.025119)
4th file for whole dataset of cell 39, (c=0.01, npop=4, D=0.025119)
5th file for whole dataset of cell 39, (c=0.01, npop=128, D=0.025119)
6th file for whole dataset of cell 39, (c=0.01, npop=32, D=0.025119)
7th file for whole dataset of cell 39, (c=0.01, npop=4096, D=0.025119)
8th file for whole dataset of cell 39, (c=0.01, npop=256, D=0.025119)
9th file for whole dataset of cell 39, (c=0.01, npop=64, D=0.025119)
10th file for whole dataset of cell 39, (c=0.01, npop=2, D=0.025119)
11th file for whole dataset of cell 39, (c=0.01, npop=512, D=0.025119)
12th file for whole dataset of cell 39, (c=0.01, npop=2048, D=0.025119)
13th file for whole dataset of cell 39, (c=0.01, npop=2048, D=0.000251)
14th file for whole dataset of cell 39, (c=0.01, npop=32, D=0.000251)
15th file for whole dataset of cell 39, (c=0.01, npop=4, D=0.000251)
16th file for whole dataset of cell 39, (c=0.01, npop=512, D=0.000251)
17th file for whole dataset of cell 39, (c=0.01, npop=4096, D=0.000251)
18th file for whole dataset of cell 39, (c=0.01, npop=128, D=0.000251)
19th file for whole dataset of cell 39, (c=0.01, npop=2, D=0.000251)
20th file for whole dataset of cell 39, (c=0.01, npop=64, D=0.000251)
21th file for whole dataset of cell 39, (c=0.01, npop=8, D=0.000251)
22th file for whole dataset of cell 39, (c=0.01, npop=256, D=0.000251)
23th file for whole dataset of cell 39, (c=0.01, npop=16, D=0.000251)
24th file for whole dataset of cell 39, (c=0.01, npop=1024, D=0.000251)
25th file for whole dataset of cell 39, (c=0.01, npop=1, D=0.000251)
26th file for whole dataset of cell 39, (c=0.01, npop=512, D=0.398107)
27th file for whole dataset of cell 39, (c=0.01, npop=256, D=0.398107)
28th file for whole dataset of cell 39, (c=0.01, npop=2, D=0.398107)
29th file for whole dataset of cell 39, (c=0.01, npop=16, D=0.398107)
30th file for whole dataset of cell 39, (c=0.01, npop=1024, D=0.398107)
31th file for whole dataset of cell 39, (c=0.01, npop=128, D=0.398107)
32th file for whole dataset of cell 39, (c=0.01, npop=1, D=0.398107)
33th file for whole dataset of cell 39, (c=0.01, npop=4096, D=0.398107)
34th file for whole dataset of cell 39, (c=0.01, npop=4, D=0.398107)
35th file for whole dataset of cell 39, (c=0.01, npop=2048, D=0.398107)
36th file for whole dataset of cell 39, (c=0.01, npop=8, D=0.398107)
37th file for whole dataset of cell 39, (c=0.01, npop=32, D=0.398107)
38th file for whole dataset of cell 39, (c=0.01, npop=64, D=0.398107)
39th file for whole dataset of cell 39, (c=0.01, npop=64, D=6e-06)
40th file for whole dataset of cell 39, (c=0.01, npop=4096, D=6e-06)
41th file for whole dataset of cell 39, (c=0.01, npop=512, D=6e-06)
42th file for whole dataset of cell 39, (c=0.01, npop=8, D=6e-06)
43th file for whole dataset of cell 39, (c=0.01, npop=4, D=6e-06)
44th file for whole dataset of cell 39, (c=0.01, npop=2, D=6e-06)
45th file for whole dataset of cell 39, (c=0.01, npop=128, D=6e-06)
46th file for whole dataset of cell 39, (c=0.01, npop=16, D=6e-06)
47th file for whole dataset of cell 39, (c=0.01, npop=32, D=6e-06)
48th file for whole dataset of cell 39, (c=0.01, npop=1, D=6e-06)
49th file for whole dataset of cell 39, (c=0.01, npop=2048, D=6e-06)
50th file for whole dataset of cell 39, (c=0.01, npop=256, D=6e-06)
51th file for whole dataset of cell 39, (c=0.01, npop=1024, D=6e-06)
52th file for whole dataset of cell 39, (c=0.01, npop=4096, D=4e-05)
53th file for whole dataset of cell 39, (c=0.01, npop=8, D=4e-05)
54th file for whole dataset of cell 39, (c=0.01, npop=512, D=4e-05)
55th file for whole dataset of cell 39, (c=0.01, npop=4, D=4e-05)
56th file for whole dataset of cell 39, (c=0.01, npop=2048, D=4e-05)
57th file for whole dataset of cell 39, (c=0.01, npop=1, D=4e-05)
58th file for whole dataset of cell 39, (c=0.01, npop=128, D=4e-05)
59th file for whole dataset of cell 39, (c=0.01, npop=2, D=4e-05)
60th file for whole dataset of cell 39, (c=0.01, npop=64, D=4e-05)
61th file for whole dataset of cell 39, (c=0.01, npop=32, D=4e-05)
62th file for whole dataset of cell 39, (c=0.01, npop=1024, D=4e-05)
63th file for whole dataset of cell 39, (c=0.01, npop=256, D=4e-05)
64th file for whole dataset of cell 39, (c=0.01, npop=16, D=4e-05)
65th file for whole dataset of cell 39, (c=0.01, npop=256, D=3e-06)
66th file for whole dataset of cell 39, (c=0.01, npop=64, D=3e-06)
67th file for whole dataset of cell 39, (c=0.01, npop=4096, D=3e-06)
68th file for whole dataset of cell 39, (c=0.01, npop=2, D=3e-06)
69th file for whole dataset of cell 39, (c=0.01, npop=2048, D=3e-06)
70th file for whole dataset of cell 39, (c=0.01, npop=4, D=3e-06)
71th file for whole dataset of cell 39, (c=0.01, npop=128, D=3e-06)
72th file for whole dataset of cell 39, (c=0.01, npop=16, D=3e-06)
73th file for whole dataset of cell 39, (c=0.01, npop=1024, D=3e-06)
74th file for whole dataset of cell 39, (c=0.01, npop=32, D=3e-06)
75th file for whole dataset of cell 39, (c=0.01, npop=512, D=3e-06)
76th file for whole dataset of cell 39, (c=0.01, npop=1, D=3e-06)
77th file for whole dataset of cell 39, (c=0.01, npop=8, D=3e-06)
78th file for whole dataset of cell 39, (c=0.01, npop=128, D=39.8107)
79th file for whole dataset of cell 39, (c=0.01, npop=64, D=39.8107)
80th file for whole dataset of cell 39, (c=0.01, npop=256, D=39.8107)
81th file for whole dataset of cell 39, (c=0.01, npop=32, D=39.8107)
82th file for whole dataset of cell 39, (c=0.01, npop=1, D=39.8107)
83th file for whole dataset of cell 39, (c=0.01, npop=1024, D=39.8107)
84th file for whole dataset of cell 39, (c=0.01, npop=16, D=39.8107)
